rank,name,ratings,actual_price
116,"Snevad 10803.+7203. Large-Angle Rotating Faucet Extender Aerator, Universal Splash Filter Faucet Aerator for Bathroom & Kitc...",3.6,5099
117,GINNI Kitchen Swipe Rolls | Kitchen Tissue Roll Reusable & Washable (Multi-Purpose Household Sheets - 50 Pulls/Roll) (Pack...,4.4,5050
118,"imagine technologies ABS Water Level Indicator with Alarm on Tank Full with 5 Sensors (Standard, White)",4,"50,399"
119,"AASONS Pack Of 100pcs White Cable Zip Ties Heavy Duty, Premium Plastic Wire Ties With High Tensile Strength, Self-Locking,...",3.8,5017
120,Taparia 1404 Bent Nose Mini Plier,4.2,5090
121,IBELL Professional Palm Router PR60-68 650W 32000RPM,4.1,"50,000"
122,Voltas Mini Magic Pure-T 500-Watt Water Dispenser (White),4,"50,990"
123,"X RON Combination Spanner Wrench Set, Combination Spanner Set 6mm To 22 mm,12-Piece,Chrome Vanadium Steel, with Rolling Po...",4,"50,200"
124,Generic 6pcs Broken Bolt Screw Extractor Remover Set Easy Out Drill Bits Tools Kit 3-22mm,3.6,5099
125,AIR O MATIC Telescopic Aluminum Pole 20ft/6m (Silver),3.7,"50,299"
126,"Gambit Stainless Steel Wire Hand Brush, Metal Cleaner Scourer Rust Paint Removing Tool (Multicolor)",2.8,5008
127,"Original Mart Collapsible Portable Foldable Water Pail Foldaway Bucket for Outdoor Camping/Car Washing/Fishing/Hiking, Re...",3.8,5099
128,Prime hub Multi Colour Foam Pad Sponge Scrubber Kitchen Scrubber for Dish/Utensils/Tiles Cleaning Heavy Quality (Set of 6),3.4,5099
129,Cona Smyle ABS Oola Wireless Remote Bell with 36 Melodies Option 2017 (Multicolour),3.8,5080
130,Livronic® Cotton Pad Wet and Dry Cotton pad Flat Floor Mop 67x14x5 (18-Inch) | Easy to Use Floor Cleaning Mop | Home | Off...,4.5,"50,999"
131,Decorcrafts 2 pcs/lot Baby Clip Door Stopper Child Security Gate Windproof Stackable Door,4.1,5099
132,MOHAK Plastic Multipurpose Adhesive Sticker Support Without Drilling Wall Mount Acrylic Bathroom Shelf,3.5,5099
133,Medium : Green Direct Latex Rubber Gloves Powder Free/Disposable Food Prep Cooking Gloves/Kitchen Food Service Cleaning Gl...,4.5,"50,199"
134,Holesalemart Multipurpose Wall Mount Bathroom Shelf and Rack for Home and Kitchen. Adhesive Sticker Support Without Drilli...,3.9,5099
135,Credly Multi Functional Kitchen Triangle Sink Filter Corner Sink Drain Strainer Basket Grey Pack of 1,3.4,5099
136,Wanhua Weather Stripping Sliding Door Sweep Bottom Tool Draft Stopper Blocker Seal Weatherproof Window Draught Excluder Se...,4,5099
137,FLBAKO Stainless Steel Self Adhesive 4 Arm Bathroom Swing Hanger Towel Rack/Holder for Bathroom/Towel Stand/Rotating Towel...,3.9,5099
138,"LOGGER - Design Health Faucet Gun Hand Jet Bidet Spray Head in ABS with high Gloss Chrome Finish, Simply Big (2 pcs Set)",3.2,5099
139,ADL PASSION Wall Mounted Plastic Bathroom Shelf with 2 Self Adhesive Stickers (White) (1),5,5000
140,Esquire 3603. Spin Blue Bucket Mop Set with an Additional Microfiber Refill,3.9,"50,299"
141,JCB Tools Heavy Duty Lever Grease Gun with Aluminum Die cast head. Air Release valve on Head. Complete with Rigid Extentio...,4.1,5025
142,SYGA 1 Piece Silicon Sink Strainer Kitchen Drain Basin Basket Filter Stopper Sink Drainer (Random Color),3.1,5050
143,"VRUNDA Enterprise 360 Degree Rotating Water-Saving Sprinkler, Faucet Aerator, 3-Gear Adjustable Head Nozzle Splash-Proof F...",3.6,5099
144,LAPO Heavy Duty Aluminium Automatic Hydraulic Double Speed Door Closer/ Aluminium and Wooden Door Closer with Fitting Set ...,4.7,"50,568"
145,"Kuber Industries Virgin Plastic Bucket|Plain Solid Design & Unbreakable Plastic Material|Size 30 x 30 x 29CM, Pack of 1, C...",4,5056
146,"Supreme Bazaar Waste Pipe Chrome Flexible PVC CP Hose Pipe for Bathroom Wash Basin Kitchen Sink Heavy Duty 1 1/4"" Drain Ho...",3.7,5099
147,Truvic Set of 2 Long Glass and Plastic Bottle Cleaning Nylon Brush (Color May Vary) pack of 2,4,5099
148,"Paddy, Wheat, Maize, Rice Moisture Meter",3.4,"505,200"
149,"SEAHELTON Floor Scrub Brush, 3 in 1 Scrubbing Brush with Long Handle, 35 in Long Handled Scrubbing Brush Bathroom Grout Br...",3.6,5099
150,"iSTAR 304 Stainless Steel Anti Rust Corrosion-Free Soap Holder (Medium, Silver Finish) (Pack of 1)",4.3,"50,198"
151,Bosch Manual Compact Frame Hacksaw with 24T Blades,4.4,5060
152,RESVON broom holder wall mounted mop stick holder broom holder wall mounted wiper holder on wall broom holder self adhesiv...,4.5,5099
153,U-S-F BATH ACCESSORIES Dulux Stainless Steel soap Holder/ Soap Dish /Soap Stands/Double Soap Dish for Bathroom/Bathroom Ac...,4,"50,618"
154,Plantex Metro Platinum Stainless Steel Soap Dish - Soap Stand - Bathroom Soap Holder - Bathroom Accessories,4,5049
155,Gluman Toilet Brush | with Quick Drying Holder | Upgraded Soft Bristles for Easy Cleaning | Reusable | Recyclable (Set of ...,4,5098
156,Amazon Brand - Presto! Bucket Flat Mop with Hands Free Squeeze and 1 Microfibre Refill,3.9,"50,150"
157,Godrej Locks Navtal 5 Levers - 2 Keys (Brass),4.2,5090
158,"IBELL Rotary Hammer Drill RH26-26, 780W, Copper Armature, SDS Plus Chuck :26 mm, 900 RPM, Impact Energy 3J with Vibration ...",4.2,"50,400"
159,WIPRO ESSENTIAL 4+4 EXTENSION,4.2,"50,149"
160,Cameraman 903. Viewing Area Security Camera Stand,4.1,5099
161,Styxon Stainless Steel Kitchen and Bathroom Faucet Soap Scrubbers Sponge Holder Rack Hanging Sink Organizer Stand Caddy Ra...,4.1,5099
162,KC 24 Inches Stainless Steel Towel Bar/Holder Square | Bathroom Towel Rod Holder | Wall Mounted Hand Towel Rail for Kitche...,3.4,5099
163,"Buildskill 24-inch Multipurpose Connection Pipe, Grade 304 Stainless Steel Braded For Hot And Cold Water/Geyser Connectio...",5,5029
164,Aston Andia Door Stoppers for Home Wall Protector Shock Absorbent Wall Bumper Adhesive Reusable Door Wall Protector,4.2,5099
165,"Konquer TimeS Soap Case for Bathroom Soap Dish/Soap Case/Soap Stand (Standard Size, Multicolor) (Box case, 2)(Plastic)",3.8,5099
166,Godrej Locks Ultra Vertibolt Texture 1CK (Brown) [Kitchen & Home],4.3,"50,580"
167,"Tineco S5 Combo Cordless Vacuum Cleaner, One-Step Cleaning Mop for Sticky Messes and Pet Hair, Dry & Wet Cleaning Options,...",4.3,"509,900"
168,"Arckord Microfiber Feather Duster Extendable Duster with 100 inches Extra Long Pole, Bendable Head & Long Handle Dusters f...",3.8,5099
169,"PARAKALO STORE Sink Filter for Hair and Clogs Silicone Star Shaped Hair Catcher for Sink, Wash Basin- Drain Strainers Trap...",3.1,5099
170,MOROVIK Multifunctional Screen Brush 2 in 1 Mesh Cleaning Brush & Wiper with Extended Handle Window Cleaning Brush Window ...,3.8,5099
171,"EAYIRA Mop And Broom Holder, Upgraded With Effective Strong Holding 5 Slot Position With 6 Hooks Garage Storage Tools Wall...",4,5099
172,Kitchen and Home Fire Extinguisher for Fire Safety (Red),4.1,5099
173,"Taparia TAKM9 Steel Handle Allen Key Set (Multicolour, 9-Pieces)",4.2,5010
174,Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 1203. Rotate Bat...,4.7,5099
175,RAIBEX® Container Seal Tag Plastic Security Seals One Time Lock OTL Small Size Plastic Grip Seal Pull Tight 100 PCS (Yellow),3.4,5049
176,"NewYouth Heat Gun, Mini Handheld Hot Air Gun, Electric 300W Portable Heat Gun for DIY Craft Embossing, Shrink Wrapping PV...",3.8,"50,599"
177,V4L Multipurpose Wipes Non Woven Cleaning Cloth For Wet and Dry Washable Reusable Kitchen Cleaning Towels Roll,2,5090
178,"Homdum Screwdriver Insert Bit with Magnetic Cups, Set of 3, 6 cm x 4 cm x 2 cm",3.7,5079
179,"Nyamah Sales Hand Gloves Hand Protector for Cleaning, Cooking, Hair Coloring, Dishwashing, Food Handling (100 PCS)",3.8,5099
180,"GM 3060 E - Book 4 + 1 Power Strip Master Switch, Electrical Multiple Plug Socket, Power Indicator, Safety Shutter, 4 Inte...",4.6,"50,240"
181,"Plantex Platinum 304 Stainless Steel Chrome Finish Bathroom Accessories Mirror Cabinet with LED Light (14 x 20 Inches, Sil...",3.8,"506,199"
182,BLACK+DECKER Steel 200mm 2nd Cut Flat File (Orange) (BDHT22144),4.2,5000
183,"Techhark Heavy Quality ABS Plastic Based Water Washing Machine Tap, White",3.9,5099
184,"Quick Sense(Qs-07): 360` Ceiling-mount PIR Motion sensor Switch with LUX Sensor inbuilt Energy Saving sensor,LUX adjustmen...",3.9,"50,999"
185,Kohler July Pillar Wash Basin Tap - Polished Chrome - Water Tap for Bathroom - Metal Sink Faucet - Contemporary Functional...,4.3,"50,040"
186,"EZVIZ Security Camera Indoor WiFi 1080P, Baby Pet Monitor with Motion Detection, Smart Tracking, Smart Night Vision, Wirel...",3.8,"50,000"
187,"Spotzero By Milton Wave Spin Mop, Aqua Green, Pack of 1, Plastic",4.2,"50,299"
188,Taparia 101 Steel (9mm) Cutting Edge Octogonal Chisel (Blue and Silver),4.1,508
189,"OM CLAER Water Faucet, 360 Degree Rotating Water-Saving Sprinkler, Faucet Aerator, 2-Gear Adjustable Head Nozzle, Water Sp...",3.8,5099
190,Volo European Style Steel Auto Concealed Cabinet Hinges (Pack of 5 Sets) (0 Crank- Full Overlay),3.9,5050
